title,price,total_price,year,mileage,link
HINO Ranger,"Price $3,800","Total Price $15,691 C&F Mombasa (RORO)",Year: 2006 / 11,"Mileage: 876,168 km",https://image-cdn.beforward.jp/medium/202312/6334963/BP896732_a59c0d.JPG?w=200
TOYOTA Premio,"Price $7,410","Total Price $9,486 C&F Mombasa (RORO)",Year: 2017 / 2,"Mileage: 134,387 km",https://image-cdn.beforward.jp/medium/202406/7792704/BT403570_8f3eda.JPG?w=200
TOYOTA IST,"Price $2,610","Total Price $4,486 C&F Mombasa (RORO)",Year: 2003 / 7,"Mileage: 103,358 km",https://image-cdn.beforward.jp/medium/202406/7947935/BT547119_6331be.jpg?w=200
TOYOTA Crown,"Price $2,140","Total Price $4,360 C&F Mombasa (RORO)",Year: 2006 / 11,"Mileage: 99,639 km",https://image-cdn.beforward.jp/medium/202406/7947983/BT547123_392db1.jpg?w=200
TOYOTA RAV4,"Price $4,920","Total Price $7,163 C&F Mombasa (RORO)",Year: 2010 / 12,"Mileage: 95,730 km",https://image-cdn.beforward.jp/medium/202406/7948941/BT547240_a9aa12.JPG?w=200
NISSAN JUKE,"Price $2,580","Total Price $4,591 C&F Mombasa (RORO)",Year: 2013 / 6,"Mileage: 119,469 km",https://image-cdn.beforward.jp/medium/202406/7917348/BT526930_5433bf.JPG?w=200
TOYOTA Raum,"Price $1,940","Total Price $3,837 C&F Mombasa (RORO)",Year: 2003 / 7,"Mileage: 51,663 km",https://image-cdn.beforward.jp/medium/202406/7924724/BT534029_162866.jpg?w=200
MAZDA CX-5,"Price $2,880","Total Price $5,295 C&F Mombasa (RORO)",Year: 2014 / 11,"Mileage: 222,712 km",https://image-cdn.beforward.jp/medium/202406/7944521/BT543849_70deb2.jpg?w=200
NISSAN JUKE,"Price $2,580","Total Price $4,608 C&F Mombasa (RORO)",Year: 2010 / 12,"Mileage: 104,817 km",https://image-cdn.beforward.jp/medium/202406/7944329/BT543879_0af8da.jpg?w=200
TOYOTA IST,"Price $2,610","Total Price $4,445 C&F Mombasa (RORO)",Year: 2003 / 5,"Mileage: 110,900 km",https://image-cdn.beforward.jp/medium/202406/7945232/BT543901_aaae94.jpg?w=200
