title,price,details,img_link
MITSUBISHI LANCER GSR EVOLUTION VI,"¥4,105,000","1999.07 SILVER 88,262 km 2000cc Right MT",https://picture1.goo-net.com/9450240613/00702250/J/94502406130070225000100.jpg
NISSAN SKYLINE 350GT HYBRID TYPE P,"¥1,615,000","2015.09 BLACK 112,818 km 3500cc Right AT",https://picture1.goo-net.com/7000520259/30240612/J/70005202593024061200100.jpg
NISSAN SILVIA SPEC-S G PACKAGE,"¥2,705,000","1999.07 GUN M 27,000 km 2000cc Right AT",https://picture1.goo-net.com/9630240613/01300703/J/96302406130130070300100.jpg
NISSAN SKYLINE 200GT-T TYPE SP,"¥2,325,000","2015.01 PEARL 66,072 km 2000cc Right AT",https://picture1.goo-net.com/7000202010/30240611/J/70002020103024061100200.jpg | https://picture1.goo-net.com/7000202010/30240611/J/70002020103024061100200.jpg
NISSAN SKYLINE 25GT TURBO,"¥2,721,000",2000.11 BLACK - km 2500cc Right MT,https://picture1.goo-net.com/7000707941/30240612/J/70007079413024061200100.jpg
HONDA INTEGRA TYPE R,"¥1,915,000","2006.06 GRAY 118,256 km 2000cc Right MT",https://picture1.goo-net.com/7000500558/30240611/J/70005005583024061100200.jpg
HONDA INTEGRA TYPE R,"¥2,315,000","2005.04 WHITE 122,342 km 2000cc Right MT",https://picture1.goo-net.com/7000204545/30240611/J/70002045453024061100100.jpg
TOYOTA CHASER AVANTE,"¥2,215,000","1998.03 WHITE 118,651 km 2000cc Right MT",https://picture1.goo-net.com/7001002031/30240611/J/70010020313024061100100.jpg
NISSAN SKYLINE 2000 TURBO RS-X,"¥2,303,000","1985.07 WHITE 84,757 km 2000cc Right AT",https://picture1.goo-net.com/7000710234/30240611/J/70007102343024061100100.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥2,413,000","2008.04 SILVER M 19,000 km 2000cc Right AT",https://picture1.goo-net.com/9450240612/00204401/J/94502406120020440100100.jpg
NISSAN SKYLINE 250GT TYPE P,"¥752,800","2006.11 SILVER II 38,000 km 2500cc Right AT",https://picture1.goo-net.com/7000301853/30240529/J/70003018533024052900600.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥2,523,000","2008.01 SILVER 89,874 km 2000cc Right AT",https://picture1.goo-net.com/7000520216/30240611/J/70005202163024061100600.jpg | https://picture1.goo-net.com/7000520216/30240611/J/70005202163024061100600.jpg
NISSAN SILVIA TWINCAM TURBO RS-X,"¥2,193,000","1986.07 WHITE II 83,139 km 1800cc Right MT",https://picture1.goo-net.com/7000200342/30240607/J/70002003423024060700300.jpg
NISSAN SKYLINE 400R,"¥4,855,000","2019.12 SILVER M 17,403 km 3000cc Right AT",https://picture1.goo-net.com/7000508207/30240611/J/70005082073024061100300.jpg | https://picture1.goo-net.com/7000508207/30240611/J/70005082073024061100300.jpg
TOYOTA CHASER AVANTE,"¥2,193,000","1999.05 BLACK M 53,000 km 2000cc Right AT",https://picture1.goo-net.com/7000541187/30240530/J/70005411873024053000100.jpg
NISSAN SKYLINE NISMO,"¥9,695,000",2024.05 RED 94 km 3000cc Right AT,https://picture1.goo-net.com/7001200447/30240611/J/70012004473024061100100.jpg
NISSAN SKYLINE 350GT,"¥516,600","2004.01 BLUE 51,000 km 3500cc Right AT",https://picture1.goo-net.com/7000403606/30240611/J/70004036063024061100200.jpg
NISSAN SILVIA SPEC-S G PACKAGE,"¥3,650,500","2000.03 GUN M 45,000 km 2000cc Right MT",https://picture1.goo-net.com/7000207730/30240611/J/70002077303024061100100.jpg
NISSAN SILVIA,"¥5,405,000","2000.04 YELLOW 176,368 km 2000cc Right MT",https://picture1.goo-net.com/7000550835/30240611/J/70005508353024061100100.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP 60TH LIMITED,"¥2,186,400","2017.09 PEARL WHITE 66,269 km 3500cc Right AT",https://picture1.goo-net.com/7000504839/30240611/J/70005048393024061100500.jpg
MITSUBISHI LANCER GSR EVOLUTION VIII,"¥3,040,000","2003.09 SILVER 119,400 km 2000cc Right MT",https://picture1.goo-net.com/7000700584/30240610/J/70007005843024061000100.jpg
NISSAN SKYLINE GTS25T TYPE M SPEC II,"¥3,062,000","1996.02 WHITE 176,222 km 2500cc Right MT",https://picture1.goo-net.com/7000580610/30240610/J/70005806103024061000100.jpg
NISSAN SILVIA KS,"¥2,424,000",1994.07 BLACK - km 2000cc Right MT,https://picture1.goo-net.com/7000700895/30240611/J/70007008953024061100100.jpg
MITSUBISHI LANCER GSR EVOLUTION VIII,"¥2,699,000","2003.03 SILVER M 183,734 km 2000cc Right MT",https://picture1.goo-net.com/7000506242/30240610/J/70005062423024061000400.jpg | https://picture1.goo-net.com/7000506242/30240610/J/70005062423024061000400.jpg
NISSAN SKYLINE NISMO,"¥9,233,000",2024.01 GRAY M 780 km 3000cc Right AT,https://picture1.goo-net.com/7000707745/30240610/J/70007077453024061000200.jpg
NISSAN SKYLINE GT,"¥1,500,000","1998.07 SILVER 182,185 km 2000cc Right MT",https://picture1.goo-net.com/7000500811/30240610/J/70005008113024061000100.jpg | https://picture1.goo-net.com/7000500811/30240610/J/70005008113024061000100.jpg
NISSAN SKYLINE 200GT-T,"¥1,683,000","2017.06 LIGHT BLUE M 8,900 km 2000cc Right AT",https://picture1.goo-net.com/7000701052/30240610/J/70007010523024061000400.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥2,523,000","2008.03 PEARL WHITE 88,239 km 2000cc Right AT",https://picture1.goo-net.com/7000509884/30240610/J/70005098843024061002800.jpg | https://picture1.goo-net.com/7000509884/30240610/J/70005098843024061002800.jpg
MITSUBISHI LANCER EVOLUTION FINAL EDITION,"¥6,115,000","2016.02 PEARL WHITE 15,896 km 2000cc Right MT",https://picture1.goo-net.com/7000600259/30240610/J/70006002593024061000100.jpg
HONDA INTEGRA TYPE R,"¥2,295,000","2004.07 WHITE 105,557 km 2000cc Right MT",https://picture1.goo-net.com/7001001349/30240528/J/70010013493024052800200.jpg
NISSAN SILVIA AUTECH VERSION,"¥4,685,600","1999.11 PEARL WHITE 147,000 km 2000cc Right MT",https://picture1.goo-net.com/7000561441/30240609/J/70005614413024060900100.jpg
TOYOTA SUPRA SZ,"¥5,115,000",New Car BLACK - km 2000cc Right AT,https://picture1.goo-net.com/7000208192/30240609/J/70002081923024060900100.jpg
NISSAN SKYLINE 2000RS,"¥3,359,000","1983.04 GUN M/BLACK 133,800 km 2000cc Right MT",https://picture1.goo-net.com/7000511075/30240610/J/70005110753024061000100.jpg
NISSAN SKYLINE HYBRID GT TYPE P,"¥3,403,000","2021.03 DARK GRAY M 25,004 km 3500cc Right AT",https://picture1.goo-net.com/7000701786/30240526/J/70007017863024052600200.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP,"¥2,600,000","2015.01 BLACK 24,038 km 3500cc Right AT",https://picture1.goo-net.com/7000505027/30240610/J/70005050273024061002300.jpg | https://picture1.goo-net.com/7000505027/30240610/J/70005050273024061002300.jpg
NISSAN SKYLINE 250GT,"¥723,000","2011.03 SILVER M 45,000 km 2500cc Right AT",https://picture1.goo-net.com/7000504886/30240610/J/70005048863024061000200.jpg | https://picture1.goo-net.com/7000504886/30240610/J/70005048863024061000200.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP,"¥1,503,000","2015.10 BLACK 70,763 km 3500cc Right AT",https://picture1.goo-net.com/7000705900/30240610/J/70007059003024061000200.jpg
TOYOTA CHASER TOURER V,"¥2,325,000","1998.03 BLACK 202,000 km 2500cc Right MT",https://picture1.goo-net.com/7009570964/30240610/J/70095709643024061000200.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥1,995,000","2007.12 RED M 137,964 km 2000cc Right AT",https://picture1.goo-net.com/7000701784/30240610/J/70007017843024061000100.jpg
NISSAN SKYLINE GT TYPE SP,"¥3,464,000","2020.07 PEARL WHITE 37,929 km 3000cc Right AT",https://picture1.goo-net.com/7000600508/30240610/J/70006005083024061000100.jpg
NISSAN SILVIA QS,"¥2,435,000","1991.02 SILVER II 131,245 km 2000cc Right MT",https://picture1.goo-net.com/7001002031/30240610/J/70010020313024061000300.jpg | https://picture1.goo-net.com/7001002031/30240610/J/70010020313024061000300.jpg
NISSAN SKYLINE 25GT-X,"¥2,974,000","2000.10 BLUE 101,000 km 2500cc Right AT",https://picture1.goo-net.com/7001020675/30240601/J/70010206753024060100300.jpg
NISSAN SKYLINE 370GT TYPE S,"¥892,800","2009.05 PEARL 51,663 km 3700cc Right AT",https://picture1.goo-net.com/7009572574/30240601/J/70095725743024060100400.jpg
NISSAN SKYLINE 25GT-X TURBO,"¥2,435,000",1998.10 WHITE - km 2500cc Right AT,https://picture1.goo-net.com/7000540448/30230609/J/70005404483023060900100.jpg
NISSAN SKYLINE 200GT-T TYPE SP,"¥1,764,000","2015.02 PEARL 67,873 km 2000cc Right AT",https://picture1.goo-net.com/7000206860/30240610/J/70002068603024061000100.jpg
MITSUBISHI LANCER EVOLUTION FINAL EDITION,"¥5,449,000","2015.07 BLACK 87,797 km 2000cc Right MT",https://picture1.goo-net.com/7000803205/30240525/J/70008032053024052500100.jpg | https://picture1.goo-net.com/7000803205/30240525/J/70008032053024052500100.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP,"¥782,800","2014.02 SILVER 157,600 km 3500cc Right AT",https://picture1.goo-net.com/7000704307/30240608/J/70007043073024060800200.jpg
MITSUBISHI LANCER GSR EVOLUTION VII,"¥1,357,000","2001.05 GRAY M 240,784 km 2000cc Right MT",https://picture1.goo-net.com/7001001380/30240608/J/70010013803024060800300.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP,"¥2,565,000","2015 BLACK 21,000 km 3500cc Right AT",https://picture1.goo-net.com/9060240610/00200772/J/90602406100020077200100.jpg
NISSAN SKYLINE 350GT HYBRID TYPE SP,"¥1,874,000","2014.03 SILVER M 59,000 km 3500cc Right AT",https://picture1.goo-net.com/9560240610/00501938/J/95602406100050193800100.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥1,478,000","2012.11 BLACK M 137,148 km 2000cc Right AT",https://picture1.goo-net.com/7001230638/30240609/J/70012306383024060900100.jpg
NISSAN SKYLINE 250GT,"¥1,167,800","2010.03 BLACK 41,000 km 2500cc Right AT",https://picture1.goo-net.com/7000204387/30240609/J/70002043873024060900100.jpg
NISSAN SKYLINE GTS-4,"¥3,744,000","1990.03 DARK BLUE 73,193 km 2000cc Right MT",https://picture1.goo-net.com/7000540022/30240609/J/70005400223024060900200.jpg
NISSAN SKYLINE 400R,"¥4,038,800","2020.03 DARK BLUE 31,031 km 3000cc Right AT",https://picture1.goo-net.com/7000708553/30240609/J/70007085533024060900100.jpg
HONDA INTEGRA TYPE R,"¥1,815,000","2004.11 BLUE 158,868 km 2000cc Right MT",https://picture1.goo-net.com/7000500558/30240609/J/70005005583024060900100.jpg
NISSAN SKYLINE,"¥4,305,000","2020.07 PEARL 45,276 km 3000cc Right AT",https://picture1.goo-net.com/7000903698/30240609/J/70009036983024060900300.jpg
NISSAN SKYLINE GT-R,"¥8,705,000","1997.03 SILVER 112,002 km 2600cc Right MT",https://picture1.goo-net.com/7001010518/30240529/J/70010105183024052900200.jpg | https://picture1.goo-net.com/7001010518/30240529/J/70010105183024052900200.jpg
NISSAN SILVIA QS SE DIA SELECTION,"¥4,302,800","1997.07 BLACK 26,000 km 2000cc Right MT",https://picture1.goo-net.com/7000541558/30240606/J/70005415583024060600200.jpg
HONDA INTEGRA ZXi,"¥3,422,800","1991.06 WHITE 18,000 km 1600cc Right MT",https://picture1.goo-net.com/7000541558/30240606/J/70005415583024060600300.jpg
MITSUBISHI LANCER GSR EVOLUTION X,"¥1,992,800","2008.01 RED M 175,000 km 2000cc Right MT",https://picture1.goo-net.com/7000541528/30240609/J/70005415283024060900100.jpg
